Prot_A,Prot_B,score,Disease
HTR2B,GNAS,0.928,Alzheimer's Disease
HTR2B,HTR2A,0.962,Alzheimer's Disease
HTR2B,HTR2C,0.977,Alzheimer's Disease
HTR2B,GNAQ,0.995,Alzheimer's Disease
CACNA1C,HTR2C,0.918,Alzheimer's Disease
CACNA1C,HTR2A,0.937,Alzheimer's Disease
CACNA1C,CACNA1F,0.978,Alzheimer's Disease
CACNA1C,CACNA1D,0.981,Alzheimer's Disease
CACNA1C,CACNA1S,0.982,Alzheimer's Disease
HTR2C,CACNA1F,0.905,Alzheimer's Disease
HTR2C,CACNA1S,0.905,Alzheimer's Disease
HTR2C,CACNA1D,0.921,Alzheimer's Disease
HTR2C,GNG2,0.941,Alzheimer's Disease
HTR2C,GNB1,0.953,Alzheimer's Disease
HTR2C,GNAS,0.972,Alzheimer's Disease
HTR2C,HTR2A,0.991,Alzheimer's Disease
HTR2C,GNAQ,0.995,Alzheimer's Disease
GNAQ,GNG2,0.972,Alzheimer's Disease
GNAQ,HTR2A,0.99,Alzheimer's Disease
GNAQ,GNB1,0.997,Alzheimer's Disease
CACNA1D,HTR2A,0.916,Alzheimer's Disease
CACNA1D,CACNA1S,0.975,Alzheimer's Disease
CACNA1D,CACNA1F,0.98,Alzheimer's Disease
GNG2,GRM2,0.936,Alzheimer's Disease
CACNA1S,HTR2A,0.909,Alzheimer's Disease
CACNA1S,CACNA1F,0.988,Alzheimer's Disease
GNAS,HTR2A,0.932,Alzheimer's Disease
CACNA1F,HTR2A,0.9,Alzheimer's Disease
GNB1,GRM2,0.806,Alzheimer's Disease
GNA11,AGTR1,0.942,Alzheimer's Disease
GNAQ,AGTR1,0.997,Alzheimer's Disease
TPH1,TPH2,0.96,Alzheimer's Disease
GNG2,POMC,0.895,Alzheimer's Disease
GNB1,POMC,0.908,Alzheimer's Disease
TSHB,IGHV3-16,0.8,Alzheimer's Disease
TSHB,GNB1,0.8,Alzheimer's Disease
TSHB,GNG2,0.804,Alzheimer's Disease
TSHB,HTR6,0.904,Alzheimer's Disease
TSHB,GNAS,0.947,Alzheimer's Disease
HTR6,GIP,0.9,Alzheimer's Disease
HTR6,NPPA,0.904,Alzheimer's Disease
HTR6,FSHB,0.904,Alzheimer's Disease
HTR6,GCG,0.906,Alzheimer's Disease
HTR6,ADCYAP1,0.915,Alzheimer's Disease
HTR6,VIP,0.916,Alzheimer's Disease
HTR6,POMC,0.92,Alzheimer's Disease
GNAL,GNAS,0.975,Alzheimer's Disease
GNAL,GNB1,0.978,Alzheimer's Disease
GNG2,GCG,0.896,Alzheimer's Disease
GNG2,GIP,0.898,Alzheimer's Disease
GNG2,ADCYAP1,0.901,Alzheimer's Disease
GIP,IGHV3-16,0.8,Alzheimer's Disease
GIP,GNB1,0.895,Alzheimer's Disease
GIP,GNAS,0.909,Alzheimer's Disease
GNAS,ADCYAP1,0.906,Alzheimer's Disease
GNAS,GCG,0.939,Alzheimer's Disease
GNB1,ADCYAP1,0.898,Alzheimer's Disease
GNB1,GCG,0.898,Alzheimer's Disease
POMC,IGHV3-16,0.8,Alzheimer's Disease
GCG,IGHV3-16,0.8,Alzheimer's Disease
ADCYAP1,IGHV3-16,0.8,Alzheimer's Disease
ALDH2,MAOB,0.975,Alzheimer's Disease
ALDH2,MAOA,0.982,Alzheimer's Disease
GNA11,CHRM5,0.902,Alzheimer's Disease
GNA11,GRM5,0.907,Alzheimer's Disease
GNA11,CHRM3,0.908,Alzheimer's Disease
GNA11,CHRM1,0.92,Alzheimer's Disease
GNA11,PLCB3,0.952,Alzheimer's Disease
CHRM3,KNG1,0.903,Alzheimer's Disease
CHRM3,GNG12,0.91,Alzheimer's Disease
CHRM3,CHRM1,0.91,Alzheimer's Disease
CHRM3,GRM5,0.929,Alzheimer's Disease
CHRM3,CHRM5,0.933,Alzheimer's Disease
CHRM3,GNAQ,0.95,Alzheimer's Disease
GNAQ,CHRM5,0.91,Alzheimer's Disease
GNAQ,CHRM1,0.963,Alzheimer's Disease
GNAQ,LPAR4,0.965,Alzheimer's Disease
GNAQ,LPAR3,0.978,Alzheimer's Disease
GNAQ,LPAR5,0.991,Alzheimer's Disease
GNAQ,F2R,0.991,Alzheimer's Disease
GNAQ,LPAR2,0.994,Alzheimer's Disease
GNAQ,LPAR1,0.997,Alzheimer's Disease
GNAQ,GRM5,0.999,Alzheimer's Disease
GNAQ,PLCB3,0.999,Alzheimer's Disease
GRM5,CHRM5,0.946,Alzheimer's Disease
GRM5,CHRM1,0.95,Alzheimer's Disease
CHRM1,LPAR2,0.9,Alzheimer's Disease
CHRM1,LPAR5,0.901,Alzheimer's Disease
CHRM1,LPAR4,0.904,Alzheimer's Disease
CHRM1,CHRM5,0.905,Alzheimer's Disease
CHRM1,F2R,0.907,Alzheimer's Disease
CHRM1,LPAR3,0.908,Alzheimer's Disease
CHRM1,CHRM2,0.908,Alzheimer's Disease
CHRM1,GNG12,0.911,Alzheimer's Disease
CHRM1,KNG1,0.914,Alzheimer's Disease
