Prot_A,Prot_B,score,Disease
WDR5,MYC,0.98,Alzheimer's Disease
TRRAP,TAF9,0.999,Alzheimer's Disease
TRRAP,MYC,0.999,Alzheimer's Disease
RCOR1,HDAC1,0.999,Alzheimer's Disease
RCOR1,HDAC2,0.999,Alzheimer's Disease
RCOR1,KDM1A,0.999,Alzheimer's Disease
DNMT3A,CPX-2556,0.999,Alzheimer's Disease
DNMT3A,DNMT1,0.999,Alzheimer's Disease
CPX-2556,EHMT1,0.978,Alzheimer's Disease
CPX-2556,DNMT1,0.998,Alzheimer's Disease
CPX-2556,EHMT2,0.998,Alzheimer's Disease
DNMT1,HDAC2,0.999,Alzheimer's Disease
DNMT1,HDAC1,0.999,Alzheimer's Disease
HDAC1,KDM1A,0.999,Alzheimer's Disease
HDAC1,HDAC2,0.999,Alzheimer's Disease
EHMT2,EHMT1,0.999,Alzheimer's Disease
KDM1A,HDAC2,0.999,Alzheimer's Disease
MAOA,CYP2D6,0.963,Alzheimer's Disease
MAOB,CYP2D6,0.961,Alzheimer's Disease
CYP3A5,CYP3A4,0.95,Alzheimer's Disease
CYP3A5,CYP2C19,0.959,Alzheimer's Disease
CYP3A5,CYP2C9,0.96,Alzheimer's Disease
CYP3A5,CYP2B6,0.97,Alzheimer's Disease
CYP2C9,CYP2B6,0.921,Alzheimer's Disease
CYP2C9,CYP3A4,0.98,Alzheimer's Disease
CYP2C9,CYP2C19,0.988,Alzheimer's Disease
CYP2B6,CYP2C19,0.92,Alzheimer's Disease
CYP2B6,CYP3A4,0.96,Alzheimer's Disease
CYP2C19,CYP2D6,0.925,Alzheimer's Disease
CYP2C19,CYP3A4,0.968,Alzheimer's Disease
ABCB1,IGKV2D-29,0.907,Alzheimer's Disease
CYP2D6,CYP3A4,0.961,Alzheimer's Disease
JOSD1,UBC,0.913,Alzheimer's Disease
PHLPP1,USP1,0.933,Alzheimer's Disease
RAD18,RPS27A,0.965,Alzheimer's Disease
RAD18,UBB,0.981,Alzheimer's Disease
RAD18,UBC,0.995,Alzheimer's Disease
RAD18,PCNA,0.998,Alzheimer's Disease
RPS27A,ZUP1,0.948,Alzheimer's Disease
RPS27A,USP1,0.956,Alzheimer's Disease
RPS27A,PCNA,0.983,Alzheimer's Disease
RPS27A,UBB,0.998,Alzheimer's Disease
RPS27A,UBC,0.998,Alzheimer's Disease
USP1,PCNA,0.944,Alzheimer's Disease
USP1,UBB,0.953,Alzheimer's Disease
USP1,UBC,0.989,Alzheimer's Disease
ZUP1,UBB,0.974,Alzheimer's Disease
ZUP1,UBC,0.998,Alzheimer's Disease
PCNA,UBB,0.959,Alzheimer's Disease
PCNA,UBC,0.961,Alzheimer's Disease
UBC,UBB,0.998,Alzheimer's Disease
CANX,PDIA3,0.999,Alzheimer's Disease
CANX,CALR,0.999,Alzheimer's Disease
DERL1,HSPA5,0.982,Alzheimer's Disease
DNAJC10,HSPA5,0.998,Alzheimer's Disease
SIL1,HYOU1,0.997,Alzheimer's Disease
SIL1,HSPA5,0.998,Alzheimer's Disease
HSP90B1,ATF6,0.981,Alzheimer's Disease
HSP90B1,CALR,0.999,Alzheimer's Disease
HSP90B1,HSPA5,0.999,Alzheimer's Disease
PDIA3,CALR,0.999,Alzheimer's Disease
EIF2AK3,HSPA5,0.999,Alzheimer's Disease
CALR,ATF6,0.933,Alzheimer's Disease
CALR,P4HB,0.994,Alzheimer's Disease
HSPA5,HSPA8,0.983,Alzheimer's Disease
HSPA5,MANF,0.996,Alzheimer's Disease
HSPA5,ATF6,0.999,Alzheimer's Disease
HSPA5,ERN1,0.999,Alzheimer's Disease
HSPA5,HYOU1,0.999,Alzheimer's Disease
CDK2,CPX-3946,0.992,Alzheimer's Disease
CDK2,CPX-2004,0.999,Alzheimer's Disease
CPX-3946,CPX-2004,0.999,Alzheimer's Disease
CPX-3946,CDK1,0.999,Alzheimer's Disease
CDK1,CPX-2004,0.999,Alzheimer's Disease
OPRD1,GNG2,0.816,Alzheimer's Disease
OPRD1,GNB1,0.831,Alzheimer's Disease
OPRD1,GNAI3,0.911,Alzheimer's Disease
OPRD1,GNAI2,0.916,Alzheimer's Disease
OPRD1,POMC,0.966,Alzheimer's Disease
OPRD1,OPRM1,0.967,Alzheimer's Disease
OPRD1,PDYN,0.979,Alzheimer's Disease
OPRD1,PENK,0.984,Alzheimer's Disease
OPRD1,GNAI1,0.991,Alzheimer's Disease
PNOC,GNB1,0.941,Alzheimer's Disease
PNOC,GNAI1,0.95,Alzheimer's Disease
GRK2,GNG2,0.929,Alzheimer's Disease
GRK2,OPRM1,0.951,Alzheimer's Disease
GRK2,GNB1,0.99,Alzheimer's Disease
GRK2,ARRB1,0.998,Alzheimer's Disease
GRK2,ARRB2,0.999,Alzheimer's Disease
GNAI2,OPRM1,0.917,Alzheimer's Disease
GNG2,OPRM1,0.935,Alzheimer's Disease
GNAI3,OPRM1,0.911,Alzheimer's Disease
GNAS,OPRM1,0.92,Alzheimer's Disease
GNB1,OPRM1,0.938,Alzheimer's Disease
GRK5,OPRM1,0.948,Alzheimer's Disease
GRK5,ARRB2,0.972,Alzheimer's Disease
GRK5,ARRB1,0.976,Alzheimer's Disease
POMC,GNAI1,0.816,Alzheimer's Disease
POMC,PENK,0.988,Alzheimer's Disease
POMC,PDYN,0.994,Alzheimer's Disease
POMC,OPRM1,0.999,Alzheimer's Disease
OPRM1,ARRB1,0.983,Alzheimer's Disease
OPRM1,ARRB2,0.986,Alzheimer's Disease
OPRM1,PDYN,0.987,Alzheimer's Disease
OPRM1,GNAI1,0.992,Alzheimer's Disease
OPRM1,PENK,0.999,Alzheimer's Disease
PENK,PDYN,0.956,Alzheimer's Disease
RUNX2,ERG,0.862,Alzheimer's Disease
RUNX2,AR,0.881,Alzheimer's Disease
HTR3B,HTR3A,0.999,Alzheimer's Disease
HTR5A,GNG2,0.937,Alzheimer's Disease
HTR5A,GNB1,0.966,Alzheimer's Disease
HTR5A,GNAI1,0.976,Alzheimer's Disease
HTR3B,CPX-276,0.982,Alzheimer's Disease
HTR3B,HTR3D,0.986,Alzheimer's Disease
CPX-289,HTR3A,0.78,Alzheimer's Disease
CPX-289,GRIA3,0.799,Alzheimer's Disease
CPX-289,GRIA2,0.8,Alzheimer's Disease
CPX-289,GRIA1,0.816,Alzheimer's Disease
CPX-289,GRIA4,0.864,Alzheimer's Disease
CPX-289,GRIN3A,0.998,Alzheimer's Disease
CPX-289,GRIN2B,0.998,Alzheimer's Disease
CPX-289,GRIN2A,0.998,Alzheimer's Disease
CPX-289,GRIN2C,0.998,Alzheimer's Disease
CPX-289,GRIN1,0.999,Alzheimer's Disease
GRIA4,HTR3A,0.794,Alzheimer's Disease
GRIA4,GRIN2C,0.824,Alzheimer's Disease
GRIA4,GRIN2B,0.853,Alzheimer's Disease
GRIA4,GRIN3A,0.878,Alzheimer's Disease
GRIA4,GRIN1,0.886,Alzheimer's Disease
GRIA4,GRIN2A,0.898,Alzheimer's Disease
GRIA4,GRIA3,0.997,Alzheimer's Disease
