Prot_A,Prot_B,score,Disease
KHDRBS3,PTK6,0.893,Alzheimer's Disease
SFPQ,PTK6,0.836,Alzheimer's Disease
PTPN1,PTK6,0.926,Alzheimer's Disease
PTPN1,BCAR1,0.927,Alzheimer's Disease
BCAR1,PTK6,0.943,Alzheimer's Disease
HIF1A,PTK6,0.906,Alzheimer's Disease
PTK6,AKT1,0.927,Alzheimer's Disease
IRS1,NTRK1,0.971,Alzheimer's Disease
SH2B1,NTRK3,0.906,Alzheimer's Disease
SHC3,NTRK1,0.975,Alzheimer's Disease
NTRK1,ADORA2A,0.857,Alzheimer's Disease
KRAS,PDGFRB,0.959,Alzheimer's Disease
KRAS,PDGFRA,0.978,Alzheimer's Disease
PDGFRA,STAT3,0.961,Alzheimer's Disease
PDGFRA,CRK,0.97,Alzheimer's Disease
PDGFRA,KITLG,0.981,Alzheimer's Disease
PDGFRB,KITLG,0.951,Alzheimer's Disease
EGFR,KITLG,0.95,Alzheimer's Disease
CRK,PIK3R1,0.979,Alzheimer's Disease
PDGFRA,PIK3CD,0.924,Alzheimer's Disease
PDGFRA,PIK3R3,0.938,Alzheimer's Disease
PIK3R3,ERBB3,0.96,Alzheimer's Disease
PIK3CA,IRS1,0.999,Alzheimer's Disease
ERBB3,PTPN11,0.828,Alzheimer's Disease
ERBB3,PIK3CD,0.951,Alzheimer's Disease
ERBB3,PIK3CB,0.966,Alzheimer's Disease
ERBB2,PIK3CD,0.941,Alzheimer's Disease
ERBB2,PTPN11,0.971,Alzheimer's Disease
ERBB2,PIK3CB,0.972,Alzheimer's Disease
EGFR,PIK3CD,0.942,Alzheimer's Disease
IRS1,PIK3CD,0.943,Alzheimer's Disease
IRS1,PIK3CG,0.948,Alzheimer's Disease
IRS1,PIK3CB,0.991,Alzheimer's Disease
KRAS,IGF1R,0.971,Alzheimer's Disease
PIK3R3,PRKCD,0.915,Alzheimer's Disease
PIK3CA,PRKCD,0.918,Alzheimer's Disease
PIK3CA,IGF1R,0.978,Alzheimer's Disease
IRS1,PRKCD,0.962,Alzheimer's Disease
PRKCD,PIK3CD,0.923,Alzheimer's Disease
PRKCD,PIK3R1,0.934,Alzheimer's Disease
PRKCD,PIK3CB,0.966,Alzheimer's Disease
PRKCD,SRC,0.983,Alzheimer's Disease
PIK3CD,IGF1R,0.95,Alzheimer's Disease
IGF1R,PIK3CB,0.971,Alzheimer's Disease
PRKAB2,TSC1,0.908,Alzheimer's Disease
PRKAB2,GYS1,0.977,Alzheimer's Disease
PRKAG2,TSC1,0.922,Alzheimer's Disease
PRKAG2,GYS1,0.946,Alzheimer's Disease
TSC1,PRKAA1,0.921,Alzheimer's Disease
TSC1,PRKAG3,0.922,Alzheimer's Disease
TSC1,PRKAB1,0.925,Alzheimer's Disease
TSC1,PRKAA2,0.942,Alzheimer's Disease
GYS1,PRKAA1,0.928,Alzheimer's Disease
GYS1,PRKAB1,0.935,Alzheimer's Disease
GYS1,PRKAA2,0.94,Alzheimer's Disease
GYS1,PRKAG3,0.942,Alzheimer's Disease
MAPK1,NCF2,0.915,Alzheimer's Disease
MAPK1,CARD9,0.916,Alzheimer's Disease
MAPK1,NCF1,0.923,Alzheimer's Disease
MAPK1,NCF4,0.924,Alzheimer's Disease
MAPK1,CYBB,0.926,Alzheimer's Disease
MAPK1,PRKCB,0.928,Alzheimer's Disease
MAPK1,PRKCD,0.929,Alzheimer's Disease
MAPK1,PRKCA,0.931,Alzheimer's Disease
MAPK1,RAC2,0.942,Alzheimer's Disease
RAC2,PRKCD,0.946,Alzheimer's Disease
RAC2,MAPK3,0.95,Alzheimer's Disease
RAC2,SRC,0.955,Alzheimer's Disease
RAC2,PLCG2,0.967,Alzheimer's Disease
RAC2,NCF2,0.999,Alzheimer's Disease
RAC2,NCF4,0.999,Alzheimer's Disease
RAC2,CYBB,0.999,Alzheimer's Disease
RAC2,NCF1,0.999,Alzheimer's Disease
MAPK3,CARD9,0.926,Alzheimer's Disease
MAPK3,NCF2,0.935,Alzheimer's Disease
MAPK3,NCF4,0.938,Alzheimer's Disease
MAPK3,CYBB,0.955,Alzheimer's Disease
NCF1,CYBB,0.999,Alzheimer's Disease
IRS1,PRKCB,0.932,Alzheimer's Disease
PRKCD,CYBB,0.93,Alzheimer's Disease
PRKCD,NCF4,0.931,Alzheimer's Disease
PRKCD,NCF2,0.94,Alzheimer's Disease
PRKCD,ELAVL1,0.944,Alzheimer's Disease
PRKCD,MARCKS,0.952,Alzheimer's Disease
PRKCD,CARD9,0.955,Alzheimer's Disease
NCF2,PRKCB,0.922,Alzheimer's Disease
NCF2,CYBB,0.999,Alzheimer's Disease
CYBB,NCF4,0.999,Alzheimer's Disease
NCF4,PRKCB,0.926,Alzheimer's Disease
ELAVL1,PRKCA,0.902,Alzheimer's Disease
PRKCA,MARCKS,0.908,Alzheimer's Disease
YWHAE,PKN2,0.84,Alzheimer's Disease
YWHAE,PKN1,0.848,Alzheimer's Disease
PKN1,RHOA,0.998,Alzheimer's Disease
PKN2,RHOA,0.992,Alzheimer's Disease
IRS1,IKBKG,0.914,Alzheimer's Disease
PRKCD,MAPK8,0.918,Alzheimer's Disease
MAPK8,BCL10,0.926,Alzheimer's Disease
MAPK8,RELA,0.975,Alzheimer's Disease
PTPN6,PTPN11,0.95,Alzheimer's Disease
RGS2,PRKG1,0.97,Alzheimer's Disease
VASP,PRKG1,0.978,Alzheimer's Disease
CACNA1C,PRKG1,0.937,Alzheimer's Disease
KCNMA1,PRKG1,0.941,Alzheimer's Disease
ITPR1,PLCB1,0.95,Alzheimer's Disease
PLCB1,PRKG1,0.932,Alzheimer's Disease
TRPC6,PRKG1,0.942,Alzheimer's Disease
ATP2B4,PRKG1,0.948,Alzheimer's Disease
PRKG1,SLC8A1,0.927,Alzheimer's Disease
PRKG1,RAF1,0.932,Alzheimer's Disease
PRKG1,PPP1R12A,0.987,Alzheimer's Disease
PPP2CB,PPP2R2C,0.977,Alzheimer's Disease
PPP2CB,PPP2R2B,0.997,Alzheimer's Disease
PPP2CB,PPP2R1A,0.999,Alzheimer's Disease
PPP2CB,PPP2R2A,0.999,Alzheimer's Disease
PPP2CB,PPP2R1B,0.999,Alzheimer's Disease
PPP2R1B,PPP2R2B,0.995,Alzheimer's Disease
PPP2R1B,PPP2R2C,0.999,Alzheimer's Disease
PPP2R1B,PPP2R2A,0.999,Alzheimer's Disease
PPP2R1A,PPP2R2B,0.998,Alzheimer's Disease
PPP2R1A,PPP2R2C,0.999,Alzheimer's Disease
PPP2R1A,PPP2R2A,0.999,Alzheimer's Disease
PPP2R2A,PPP2R2C,0.927,Alzheimer's Disease
PPP2R2A,PPP2R2B,0.951,Alzheimer's Disease
PPP2R2C,PPP2R2B,0.957,Alzheimer's Disease
PPP2R2C,PPP2CA,0.995,Alzheimer's Disease
PPP2R2B,PPP2CA,0.998,Alzheimer's Disease
MAP2K7,MAP3K12,0.946,Alzheimer's Disease
MOB4,TCP1,0.995,Alzheimer's Disease
TCP1,STK25,0.994,Alzheimer's Disease
TCP1,STK24,0.994,Alzheimer's Disease
TCP1,PPP2CA,0.996,Alzheimer's Disease
CAMK4,CALM1,0.873,Alzheimer's Disease
MAP4K5,CRK,0.895,Alzheimer's Disease
MAP4K5,GRB2,0.926,Alzheimer's Disease
YWHAB,MAP3K2,0.749,Alzheimer's Disease
SRC,MAP3K2,0.915,Alzheimer's Disease
YWHAZ,MAP3K2,0.737,Alzheimer's Disease
MAP3K2,SMYD3,0.982,Alzheimer's Disease
TP53,PLK2,0.855,Alzheimer's Disease
PLK2,PPP4C,0.763,Alzheimer's Disease
PLK2,ADAM17,0.774,Alzheimer's Disease
ANLN,RHOA,0.999,Alzheimer's Disease
NGFR,IRAK4,0.902,Alzheimer's Disease
NGFR,IRAK3,0.906,Alzheimer's Disease
NGFR,IRAK2,0.914,Alzheimer's Disease
NGFR,IRAK1,0.949,Alzheimer's Disease
TLR2,TLR5,0.982,Alzheimer's Disease
TLR2,TOLLIP,0.997,Alzheimer's Disease
TLR2,MYD88,0.999,Alzheimer's Disease
TLR2,TLR4,0.999,Alzheimer's Disease
IL1A,IL1R1,0.999,Alzheimer's Disease
TLR8,MYD88,0.999,Alzheimer's Disease
TLR4,TLR5,0.992,Alzheimer's Disease
TRAF6,TLR5,0.969,Alzheimer's Disease
TLR5,MYD88,0.999,Alzheimer's Disease
ALS2,NEK1,0.942,Alzheimer's Disease
PIP5K1B,RHOA,0.921,Alzheimer's Disease
TLN1,TLN2,0.968,Alzheimer's Disease
TLN1,PIP5K1C,0.999,Alzheimer's Disease
RHOA,PIP5K1C,0.932,Alzheimer's Disease
STK39,SEC61G,0.901,Alzheimer's Disease
TNFRSF1A,IKBKE,0.998,Alzheimer's Disease
EXOC2,TBK1,0.996,Alzheimer's Disease
TRAF5,TBK1,0.997,Alzheimer's Disease
TBK1,SQSTM1,0.995,Alzheimer's Disease
TBK1,OPTN,0.999,Alzheimer's Disease
TBK1,IKBKE,0.999,Alzheimer's Disease
TBK1,STING1,0.999,Alzheimer's Disease
TBK1,TRAF3,0.999,Alzheimer's Disease
TBK1,TRAF6,0.999,Alzheimer's Disease
OPTN,TNF,0.906,Alzheimer's Disease
TRAF3,IKBKE,0.999,Alzheimer's Disease
TNF,IKBKE,0.998,Alzheimer's Disease
TRAF6,IKBKE,0.999,Alzheimer's Disease
IKBKE,STING1,0.988,Alzheimer's Disease
IKBKE,IKBKG,0.999,Alzheimer's Disease
CPX-1123,SGK1,0.979,Alzheimer's Disease
SGK1,FOXO1,0.967,Alzheimer's Disease
SGK1,NEDD4L,0.999,Alzheimer's Disease
TBK1,IRF7,0.992,Alzheimer's Disease
IRF7,IKBKE,0.994,Alzheimer's Disease
PIK3CA,INSR,0.947,Alzheimer's Disease
INSR,PIK3CD,0.927,Alzheimer's Disease
INSR,PIK3CB,0.944,Alzheimer's Disease
TUBG1,PLK1,0.943,Alzheimer's Disease
EIF2AK1,IKBKG,0.902,Alzheimer's Disease
EIF2AK1,CHUK,0.903,Alzheimer's Disease
EIF2AK1,IFIT1,0.903,Alzheimer's Disease
EIF2AK1,IKBKB,0.909,Alzheimer's Disease
EIF2AK1,NFE2L2,0.914,Alzheimer's Disease
EIF2AK1,EIF2S1,0.996,Alzheimer's Disease
NF2,AMOTL2,0.987,Alzheimer's Disease
AMOTL2,YAP1,0.982,Alzheimer's Disease
NUAK1,STK11,0.93,Alzheimer's Disease
AP2A1,RALBP1,0.894,Alzheimer's Disease
AP2A1,SGIP1,0.944,Alzheimer's Disease
AP2A1,EPS15,0.991,Alzheimer's Disease
AP2A1,AP2S1,0.999,Alzheimer's Disease
AP2A1,AP2B1,0.999,Alzheimer's Disease
AP2A1,AP2M1,0.999,Alzheimer's Disease
SGIP1,CLTC,0.796,Alzheimer's Disease
SGIP1,AAK1,0.864,Alzheimer's Disease
SGIP1,AP2M1,0.864,Alzheimer's Disease
SGIP1,AP2S1,0.886,Alzheimer's Disease
SGIP1,REPS1,0.889,Alzheimer's Disease
SGIP1,AP2B1,0.906,Alzheimer's Disease
SGIP1,ITSN1,0.947,Alzheimer's Disease
SGIP1,EPS15,0.993,Alzheimer's Disease
EPS15,REPS1,0.863,Alzheimer's Disease
EPS15,AP2S1,0.952,Alzheimer's Disease
EPS15,AP2M1,0.958,Alzheimer's Disease
EPS15,AAK1,0.96,Alzheimer's Disease
EPS15,AP2B1,0.973,Alzheimer's Disease
EPS15,ITSN1,0.997,Alzheimer's Disease
ITSN1,RUNDC3A,0.704,Alzheimer's Disease
ITSN1,AP2M1,0.927,Alzheimer's Disease
ITSN1,AP2S1,0.93,Alzheimer's Disease
ITSN1,AP2B1,0.992,Alzheimer's Disease
RALBP1,AP2S1,0.755,Alzheimer's Disease
RALBP1,AAK1,0.844,Alzheimer's Disease
RALBP1,AP2M1,0.844,Alzheimer's Disease
RALBP1,REPS1,0.979,Alzheimer's Disease
AAK1,RUNDC3A,0.793,Alzheimer's Disease
AAK1,AP2S1,0.954,Alzheimer's Disease
AAK1,AP2B1,0.958,Alzheimer's Disease
AAK1,REPS1,0.971,Alzheimer's Disease
AAK1,AP2M1,0.979,Alzheimer's Disease
REPS1,AP2B1,0.864,Alzheimer's Disease
AP2M1,CLTC,0.988,Alzheimer's Disease
AP2M1,AP2B1,0.999,Alzheimer's Disease
AP2M1,AP2S1,0.999,Alzheimer's Disease
RUNDC3A,AP2B1,0.731,Alzheimer's Disease
RUNDC3A,AP2S1,0.789,Alzheimer's Disease
AP2S1,CLTC,0.958,Alzheimer's Disease
AP2S1,AP2B1,0.999,Alzheimer's Disease
CLTC,AP2B1,0.997,Alzheimer's Disease
NDRG1,NDRG2,0.8,Alzheimer's Disease
CRTC1,CREB1,0.998,Alzheimer's Disease
GLI1,STK36,0.966,Alzheimer's Disease
TICAM1,IRAK4,0.957,Alzheimer's Disease
TICAM1,IRAK1,0.96,Alzheimer's Disease
TICAM1,IRF7,0.981,Alzheimer's Disease
TICAM1,TRAF3,0.994,Alzheimer's Disease
IRAK1,TAB3,0.961,Alzheimer's Disease
TAB3,IRAK4,0.968,Alzheimer's Disease
TAB3,MYD88,0.975,Alzheimer's Disease
TLR7,MYD88,0.999,Alzheimer's Disease
TAOK1,MAP2K6,0.923,Alzheimer's Disease
TAOK1,MAP2K3,0.929,Alzheimer's Disease
TAOK1,TAOK2,0.943,Alzheimer's Disease
TAOK1,TAOK3,0.944,Alzheimer's Disease
TAOK2,TAOK3,0.944,Alzheimer's Disease
MAP2K3,TAOK3,0.908,Alzheimer's Disease
TAOK3,MAP2K6,0.906,Alzheimer's Disease
LEF1,NLK,0.993,Alzheimer's Disease
LEF1,CTNNB1,0.999,Alzheimer's Disease
CPX-1123,NLK,0.937,Alzheimer's Disease
FOXO1,NLK,0.964,Alzheimer's Disease
NLK,TCF7L2,0.982,Alzheimer's Disease
TCF7L2,CTNNB1,0.999,Alzheimer's Disease
CASP3,STK24,0.79,Alzheimer's Disease
STK25,GOLGA2,0.987,Alzheimer's Disease
CD2AP,ESPN,0.729,Alzheimer's Disease
CD2AP,MYO6,0.94,Alzheimer's Disease
MYO6,ESPN,0.877,Alzheimer's Disease
L1CAM,SRC,0.832,Alzheimer's Disease
L1CAM,EPHB2,0.945,Alzheimer's Disease
ITSN1,CDC42,0.999,Alzheimer's Disease
MAPT,MARK2,0.865,Alzheimer's Disease
MTCL1,MARK2,0.888,Alzheimer's Disease
BMP2K,RALBP1,0.731,Alzheimer's Disease
BMP2K,CLINT1,0.732,Alzheimer's Disease
BMP2K,AP2B1,0.789,Alzheimer's Disease
BMP2K,AP2M1,0.818,Alzheimer's Disease
BMP2K,AP2S1,0.822,Alzheimer's Disease
BMP2K,PICALM,0.85,Alzheimer's Disease
BMP2K,REPS1,0.877,Alzheimer's Disease
PICALM,AP2S1,0.777,Alzheimer's Disease
PICALM,AP2B1,0.908,Alzheimer's Disease
PICALM,AP2M1,0.935,Alzheimer's Disease
PICALM,CLINT1,0.982,Alzheimer's Disease
PNO1,RACK1,0.926,Alzheimer's Disease
PNO1,FAU,0.942,Alzheimer's Disease
PNO1,RPS2,0.98,Alzheimer's Disease
PNO1,RPS6,0.988,Alzheimer's Disease
RPS2,FAU,0.999,Alzheimer's Disease
RPS2,RACK1,0.999,Alzheimer's Disease
RPS2,RPS6,0.999,Alzheimer's Disease
RPS6,RACK1,0.999,Alzheimer's Disease
RACK1,FAU,0.999,Alzheimer's Disease
MAPT,MARK1,0.902,Alzheimer's Disease
USP21,MARK1,0.741,Alzheimer's Disease
COQ2,PDSS1,0.998,Alzheimer's Disease
CAMK1G,NOS3,0.907,Alzheimer's Disease
KCNN2,CALM2,0.982,Alzheimer's Disease
KCNN2,CALM3,0.995,Alzheimer's Disease
GDF15,RET,0.958,Alzheimer's Disease
GDF15,GFRAL,0.999,Alzheimer's Disease
CCDC6,RET,0.989,Alzheimer's Disease
GFRA3,ARTN,0.999,Alzheimer's Disease
GFRA3,RET,0.999,Alzheimer's Disease
GFRAL,RET,0.998,Alzheimer's Disease
GFRA1,RET,0.999,Alzheimer's Disease
GFRA1,GDNF,0.999,Alzheimer's Disease
RET,GRB2,0.952,Alzheimer's Disease
RET,SHC1,0.983,Alzheimer's Disease
RET,ARTN,0.999,Alzheimer's Disease
RET,GDNF,0.999,Alzheimer's Disease
TAOK1,STK25,0.803,Alzheimer's Disease
TAOK1,PLK1,0.813,Alzheimer's Disease
TAOK1,CPX-3946,0.823,Alzheimer's Disease
BUB1B,BUB3,0.999,Alzheimer's Disease
BUB3,CPX-3946,0.999,Alzheimer's Disease
SMAD2,TP53,0.993,Alzheimer's Disease
CREBBP,UBE2I,0.908,Alzheimer's Disease
CREBBP,SUMO1,0.998,Alzheimer's Disease
DAXX,UBE2I,0.975,Alzheimer's Disease
DAXX,SUMO1,0.999,Alzheimer's Disease
TP53,TP53INP1,0.935,Alzheimer's Disease
TP53,UBE2I,0.994,Alzheimer's Disease
TP53,SUMO1,0.996,Alzheimer's Disease
RUNX1,HIPK2,0.863,Alzheimer's Disease
UBE2I,SUMO1,0.999,Alzheimer's Disease
SIAH1,HIPK2,0.942,Alzheimer's Disease
HIPK2,MECP2,0.919,Alzheimer's Disease
FGF23,KL,0.999,Alzheimer's Disease
KLB,FGFR4,0.999,Alzheimer's Disease
KLB,FGF21,0.999,Alzheimer's Disease
FGF2,FGFR4,0.999,Alzheimer's Disease
FGFR4,FGF1,0.999,Alzheimer's Disease
PLCG1,FGFR3,0.952,Alzheimer's Disease
PLCG1,FGFR2,0.998,Alzheimer's Disease
FGF4,FGFR1,0.999,Alzheimer's Disease
FGF20,FGFR1,0.999,Alzheimer's Disease
FGF23,FGFR1,0.999,Alzheimer's Disease
PLCG1,FGFR1,0.999,Alzheimer's Disease
KLB,FGFR1,0.999,Alzheimer's Disease
FGF2,FGFR1,0.999,Alzheimer's Disease
FGF10,FGFR1,0.999,Alzheimer's Disease
FGF7,FGFR1,0.999,Alzheimer's Disease
FGF5,FGFR1,0.999,Alzheimer's Disease
FGF17,FGFR1,0.999,Alzheimer's Disease
KL,FGFR1,0.999,Alzheimer's Disease
FGF9,FGFR1,0.999,Alzheimer's Disease
FGFR1,FGF1,0.999,Alzheimer's Disease
MAPK1,PPP2CA,0.974,Alzheimer's Disease
MAP2K2,GSK3B,0.935,Alzheimer's Disease
MAP2K2,PPP2CA,0.955,Alzheimer's Disease
MAPK3,PPP2CA,0.971,Alzheimer's Disease
ARAF,GSK3B,0.91,Alzheimer's Disease
MAP2K1,GSK3B,0.939,Alzheimer's Disease
MAP2K1,PPP2CA,0.944,Alzheimer's Disease
GSK3B,RAF1,0.922,Alzheimer's Disease
GSK3B,BRAF,0.925,Alzheimer's Disease
TUBGCP6,TOPORS,0.744,Alzheimer's Disease
TUBGCP6,MARK4,0.902,Alzheimer's Disease
TUBGCP6,BRCA1,0.902,Alzheimer's Disease
TUBGCP6,MZT2A,0.918,Alzheimer's Disease
TUBGCP6,MZT2B,0.991,Alzheimer's Disease
MARK4,MZT2A,0.72,Alzheimer's Disease
MARK4,TOPORS,0.72,Alzheimer's Disease
MARK4,MZT2B,0.9,Alzheimer's Disease
MARK4,BRCA1,0.903,Alzheimer's Disease
MZT2A,BRCA1,0.72,Alzheimer's Disease
MZT2A,TOPORS,0.72,Alzheimer's Disease
MZT2A,MZT2B,0.87,Alzheimer's Disease
TOPORS,MZT2B,0.72,Alzheimer's Disease
TOPORS,BRCA1,0.752,Alzheimer's Disease
MZT2B,BRCA1,0.9,Alzheimer's Disease
MAPK1,HSF1,0.858,Alzheimer's Disease
HSPB1,AKT1,0.991,Alzheimer's Disease
HSPB1,MAPKAPK2,0.999,Alzheimer's Disease
MAPK3,HSF1,0.867,Alzheimer's Disease
ZFP36L2,ZFP36L1,0.917,Alzheimer's Disease
ZFP36L2,MAPKAPK2,0.926,Alzheimer's Disease
ATF4,MAPKAPK2,0.906,Alzheimer's Disease
ZFP36L1,AKT1,0.849,Alzheimer's Disease
ZFP36L1,MAPKAPK2,0.983,Alzheimer's Disease
MAPKAPK2,HSF1,0.839,Alzheimer's Disease
MAPKAPK2,ALOX5,0.89,Alzheimer's Disease
MAPKAPK2,CREB1,0.916,Alzheimer's Disease
CREB1,AKT1,0.965,Alzheimer's Disease
PLK1,DYNLL1,0.894,Alzheimer's Disease
CALM3,MYLK,0.999,Alzheimer's Disease
PRKCE,MYLK,0.905,Alzheimer's Disease
PRKACA,MYLK,0.908,Alzheimer's Disease
MYLK,PRKACB,0.907,Alzheimer's Disease
MYLK,MYL6B,0.909,Alzheimer's Disease
MYLK,CALM2,0.935,Alzheimer's Disease
MYLK,CALM1,0.992,Alzheimer's Disease
MYH11,MYL6B,0.956,Alzheimer's Disease
SRMS,PTK6,0.777,Alzheimer's Disease
MAP3K20,ZNF567,0.834,Alzheimer's Disease
MAP3K20,MAP2K7,0.953,Alzheimer's Disease
YWHAH,YAP1,0.979,Alzheimer's Disease
GJA1,CSNK1D,0.939,Alzheimer's Disease
PRKACB,CSNK1D,0.918,Alzheimer's Disease
YWHAZ,CSNK1D,0.937,Alzheimer's Disease
YWHAZ,YAP1,0.991,Alzheimer's Disease
CSNK1D,YAP1,0.919,Alzheimer's Disease
DUSP4,MAPK9,0.978,Alzheimer's Disease
DUSP4,MAPK8,0.981,Alzheimer's Disease
MAPK8IP2,MAPK8,0.971,Alzheimer's Disease
MAPK8IP2,MAPK9,0.972,Alzheimer's Disease
MAPK8,DUSP8,0.982,Alzheimer's Disease
DUSP8,MAPK9,0.968,Alzheimer's Disease
MAPK9,BCL10,0.964,Alzheimer's Disease
TP53,HIPK4,0.918,Alzheimer's Disease
TAB3,MAP2K7,0.95,Alzheimer's Disease
APC,APC2,0.911,Alzheimer's Disease
AXIN1,APC2,0.993,Alzheimer's Disease
GSK3B,APC2,0.966,Alzheimer's Disease
PRKACB,CTNNB1,0.957,Alzheimer's Disease
APC2,CTNNB1,0.994,Alzheimer's Disease
TAB1,TLR3,0.985,Alzheimer's Disease
RIPK1,MAP2K6,0.917,Alzheimer's Disease
RIPK1,MAP2K7,0.92,Alzheimer's Disease
RIPK1,TAB3,0.987,Alzheimer's Disease
TAB3,IKBKB,0.986,Alzheimer's Disease
TP53,HIPK1,0.967,Alzheimer's Disease
CRK,SOS1,0.952,Alzheimer's Disease
TLN1,ITGB1,0.999,Alzheimer's Disease
TLN1,ITGB3,0.999,Alzheimer's Disease
PTK2,ITGB3,0.99,Alzheimer's Disease
PTK2,DCC,0.991,Alzheimer's Disease
PTK2,PTEN,0.995,Alzheimer's Disease
PTK2,ITGB1,0.997,Alzheimer's Disease
PTK2,TLN2,0.999,Alzheimer's Disease
SRC,DCC,0.943,Alzheimer's Disease
SRC,ITGB1,0.986,Alzheimer's Disease
SRC,TLN2,0.999,Alzheimer's Disease
ITGB1,ITGB3,0.987,Alzheimer's Disease
ITGB1,TLN2,0.998,Alzheimer's Disease
ITGB3,TLN2,0.996,Alzheimer's Disease
ADCY8,CALM1,0.753,Alzheimer's Disease
ADCY8,CALML5,0.993,Alzheimer's Disease
ADCY8,CALM3,0.995,Alzheimer's Disease
RAC2,PTK2B,0.936,Alzheimer's Disease
RAC2,RHOA,0.94,Alzheimer's Disease
GNA12,PTK2B,0.952,Alzheimer's Disease
GNA12,RHOA,0.988,Alzheimer's Disease
GNA12,ARHGEF1,0.999,Alzheimer's Disease
ARHGEF1,PTK2B,0.937,Alzheimer's Disease
ARHGEF1,PTK2,0.939,Alzheimer's Disease
ARHGEF1,RHOA,0.997,Alzheimer's Disease
PTK2,TGFB1I1,0.917,Alzheimer's Disease
PTK2,RHOA,0.983,Alzheimer's Disease
SRC,RHOA,0.992,Alzheimer's Disease
TGFB1I1,PTK2B,0.987,Alzheimer's Disease
ITGB1,PTK2B,0.953,Alzheimer's Disease
PTK2B,JAK3,0.942,Alzheimer's Disease
PTK2B,RHOA,0.952,Alzheimer's Disease
PTK2B,ITGB2,0.96,Alzheimer's Disease
PTK2B,LPXN,0.994,Alzheimer's Disease
SIK1,PER1,0.838,Alzheimer's Disease
PER1,CREB1,0.795,Alzheimer's Disease
ALDH2,ADH1B,0.995,Alzheimer's Disease
ADH1B,COMT,0.936,Alzheimer's Disease
CDC37,LRRK2,0.925,Alzheimer's Disease
CDC37,PINK1,0.979,Alzheimer's Disease
LRRK2,YWHAG,0.906,Alzheimer's Disease
LRRK2,YWHAQ,0.919,Alzheimer's Disease
LRRK2,MBP,0.92,Alzheimer's Disease
LRRK2,HSP90AB1,0.942,Alzheimer's Disease
LRRK2,DNM1L,0.943,Alzheimer's Disease
LRRK2,MSN,0.952,Alzheimer's Disease
LRRK2,HSP90AA1,0.97,Alzheimer's Disease
LRRK2,SFN,0.975,Alzheimer's Disease
HSP90AA1,PINK1,0.957,Alzheimer's Disease
SFN,YWHAQ,0.861,Alzheimer's Disease
PRKN,PINK1,0.999,Alzheimer's Disease
TYROBP,FYN,0.933,Alzheimer's Disease
TYROBP,LCK,0.935,Alzheimer's Disease
TYROBP,ZAP70,0.999,Alzheimer's Disease
ZAP70,FCER1G,0.976,Alzheimer's Disease
SYK,PTPN11,0.963,Alzheimer's Disease
VAV1,PTPN11,0.99,Alzheimer's Disease
MAPK14,CDC25C,0.952,Alzheimer's Disease
MAPK14,CDC42,0.968,Alzheimer's Disease
CDC25C,PKN1,0.934,Alzheimer's Disease
PKN1,AR,0.873,Alzheimer's Disease
HSDL2,HADH,0.916,Alzheimer's Disease
ECI2,HSDL2,0.921,Alzheimer's Disease
EHHADH,HIBCH,0.957,Alzheimer's Disease
EHHADH,ECI2,0.972,Alzheimer's Disease
EHHADH,ACADVL,0.977,Alzheimer's Disease
EHHADH,ACOX3,0.993,Alzheimer's Disease
EHHADH,ACOX1,0.998,Alzheimer's Disease
ACAA2,HSDL2,0.918,Alzheimer's Disease
ACAA2,ACADVL,0.983,Alzheimer's Disease
ACAA2,ACOX3,0.986,Alzheimer's Disease
ACAA2,ECI2,0.987,Alzheimer's Disease
ACAA2,ACOX1,0.989,Alzheimer's Disease
ACOX1,ACOX3,0.938,Alzheimer's Disease
ACOX1,ECI2,0.967,Alzheimer's Disease
ACOX1,ACADVL,0.971,Alzheimer's Disease
ACOX1,HADHA,0.98,Alzheimer's Disease
ACOX1,CPT2,0.982,Alzheimer's Disease
ACOX1,HADHB,0.996,Alzheimer's Disease
ACOX1,ECHS1,0.996,Alzheimer's Disease
ACOX1,ACAA1,0.998,Alzheimer's Disease
HADHB,HSDL2,0.918,Alzheimer's Disease
HADHB,ACADVL,0.988,Alzheimer's Disease
HADHB,ECI2,0.989,Alzheimer's Disease
HADHB,ACOX3,0.99,Alzheimer's Disease
ACAA1,HSDL2,0.916,Alzheimer's Disease
ACAA1,ACADVL,0.979,Alzheimer's Disease
ACAA1,ECI2,0.987,Alzheimer's Disease
ACAA1,ACOX3,0.995,Alzheimer's Disease
ETFB,ETFA,0.999,Alzheimer's Disease
ACOX3,ACADVL,0.934,Alzheimer's Disease
ACOX3,CPT2,0.961,Alzheimer's Disease
ACOX3,HADHA,0.969,Alzheimer's Disease
ACOX3,ECHS1,0.99,Alzheimer's Disease
HIBCH,HADHA,0.952,Alzheimer's Disease
HIBCH,ECHS1,0.984,Alzheimer's Disease
ECHS1,ACADVL,0.981,Alzheimer's Disease
CPT2,ACADVL,0.995,Alzheimer's Disease
HADHA,ACADVL,0.995,Alzheimer's Disease
EHHADH,ACSS1,0.906,Alzheimer's Disease
EHHADH,PCCB,0.914,Alzheimer's Disease
EHHADH,ECHDC1,0.923,Alzheimer's Disease
EHHADH,SCP2,0.952,Alzheimer's Disease
EHHADH,ACAT1,0.978,Alzheimer's Disease
EHHADH,ACAT2,0.98,Alzheimer's Disease
ACAT1,HADHB,0.944,Alzheimer's Disease
