Acetylcholine-gated channel,Oxidation-reduction process,Cell surface receptor signaling pathway,Positivie regulation of peptidyl-tyrosine phosphorilation,Axon,Voltage-gated calcium channel complex,Adenylate cyclase activity,Transcription coregulator activity,Neuropeptide signaling pathway,Protease binding,Magnesium ion binding,Transmembrane receptor protein tyrosine kinase signaling,Early endosome,Ubiquitin protein ligase activity,B cell differentiation,Insulin receptor siganling pathway,Histone deacetylase binding,Chemokine-mediated signaling pathway,GABA-A receptor complex,RNA pol II distal enhancer sequence-specific DNA binding
Q13033,O15554,Q16644,O43353,Q92777,P48058,Q96PN6,Q15788,O15218,P02675,P54710,Q13332,P04629,Q93008,B9A064,P14616,P05112,,,Q969G3
P35499,P27338,P08912,A6H8M9,P26441,P05771,P27707,Q9BY76,Q9UBS5,P05121,P49441,Q9H213,Q92673,P61962,P20849,P00491,O14519,,,Q96RI1
Q03426,O43914,P30559,P04233,O00548,P22612,O60895,O75448,Q15722,P54108,P53396,Q15723,P61073,Q93034,P16885,O75157,P63104,,,Q9BUB5
Q70Z44,P00505,Q9P2W3,O75095,P54753,Q9P1A6,P10997,P04155,P08754,O15111,O95551,P01138,P08588,P40337,P78536,P31749,P11388,,,O75582
Q01082,P0DP24,P35368,P14784,O75509,Q9NRD5,O76083,P17676,P25089,P17936,O15327,Q92529,P11717,Q13620,P39059,P23443,P08047,,,O94776
Q9H0C2,O75106,Q9H1C0,O95750,Q99497,Q9H4G0,P16499,Q92993,P0DMS8,O75096,P02647,A6NIR3,P12821,Q86VM9,Q05707,P17706,Q96ST3,,,Q8TAQ2
P37268,Q86XF0,P01732,P21583,P49810,Q13972,P30566,Q00056,Q86YR5,Q6UX06,P50213,Q14204,Q8IY17,Q13616,P05000,Q6UXY1,P53041,,,P27930
P62714,Q92952,P41595,O15123,Q00653,P17252,P48546,Q15596,Q9NQS5,Q13546,O14746,P16410,Q9UJY4,Q9NZJ0,P15260,O14640,O60907,,,Q96EB6
O15020,A8MYU2,P25103,O75354,P80511,P61764,Q13324,P55317,O43603,O75594,P22694,O15446,P19320,Q9BW61,O15524,Q96T66,O43823,,,Q12873
P07510,Q9NPH5,P56373,Q9GZV9,Q92542,O14490,P43220,P48443,O00222,P09958,P02649,Q8TB73,Q99961,O43255,A4D0S4,Q13322,Q92831,,,O14497
P07108,P11509,P28223,O43320,Q13393,Q13224,O95467,P13631,P30872,P04196,Q3SYG4,A6NMY6,O00401,Q9Y6H5,Q96RD6,Q9BX66,P08238,,,Q16828
Q15800,P42330,Q14344,O15520,Q86UW9,Q6PI25,Q01064,P10826,O00230,P05089,O75531,O15117,P22303,O15151,Q14050,Q14449,Q13227,,,O96019
P48047,P07202,P11229,Q9NSA1,Q12860,Q9ULH4,Q9NZB8,P27695,P48051,P22894,Q8N8S7,P10619,P63000,Q7L5N1,P01568,Q9HCP0,Q16543,,,P35225
Q99720,Q13131,Q99677,O60674,B2RPK0,P35372,Q13976,Q15067,P18509,O95999,Q9UGB7,P13164,Q9NPB8,P0CG47,,O95996,Q9BY41,,,Q9NP60
A5X5Y0,P78329,P48039,P01111,O75334,Q02641,O43306,Q14686,P41143,P00749,Q9H2U2,Q02548,Q9Y259,Q969M7,,P40261,Q96QT6,,,O75182
P11230,P05164,P20800,O43639,P78540,Q96MF2,P21918,P35222,Q7RTX0,Q9BQ08,P53778,P23458,O75153,Q9BZ95,,Q13423,P31948,,,Q13202
Q9UQD0,P61978,P34995,Q99062,A6NHX0,Q08289,P51841,Q13490,P0DSN6,O00425,Q8TDC3,O60942,Q9NZ52,Q92541,,O15169,Q9Y4K3,,,Q96GM5
O95153,Q86W47,P00533,P33151,P04632,P54289,Q8NFM4,P37231,O75899,P16112,P40926,Q9Y2R2,P41221,Q96SW2,,P35568,P30281,,,P49137
Q9NPF5,P17516,O60262,P32927,P08651,O60359,P43119,O75592,Q14416,Q9Y6K9,P40925,Q16288,Q8IU60,P50750,,,O15379,,,P01584
P12236,Q15102,Q92633,P46108,O60499,P0DP23,Q13237,P28702,P01298,P05160,P02656,P08575,P56817,Q96GG9,,,Q04917,,,P17947
P21796,P11310,O00254,P24666,Q5S007,Q14393,O14610,A6NFH5,Q92806,P14770,Q99735,Q9ULH0,P10809,Q13619,,,O75446,,,O15230
P32297,P24557,P47871,P52798,A8MX76,P42263,P06850,P48552,P34972,P25963,Q7KZI7,Q9H3Y6,,P46527,,,P62258,,,
Q8WZ74,Q12791,P62879,P08648,P04424,Q14168,P32245,O15105,P35462,P20333,P27169,Q8WV28,,P63279,,,O60271,,,
Q01118,P35354,P25391,O43921,O14810,Q9UF02,Q9HCR9,O60423,Q8TE23,P09238,Q9HB40,Q86UN2,,O00762,,,Q9Y2Z0,,,
Q07001,P84103,P41231,P07332,P68363,P78352,Q8TDU6,P29373,P59533,P05154,Q9NQ48,P61160,,Q99627,,,O60264,,,
Q15858,O75828,P43250,P20827,Q9P2U8,Q9NY47,P09683,O60240,P31391,P14780,P16615,O14613,,Q7L5Y6,,,O95433,,,
P05141,P50135,O15547,P15509,P52907,O95886,P34998,P23786,P28221,P50452,P15538,P18206,,Q9UNS2,,,P11387,,,
Q16850,P14550,P35414,P51692,Q99466,P0DP25,P01258,O15350,O60828,P00748,O95336,Q16620,,Q8TEB1,,,P24385,,,
P04035,Q9Y478,O43555,P05538,Q16623,Q8WXS5,P07550,Q6Q788,P08908,Q99558,Q96RK4,Q92556,,P09936,,,P24864,,,
Q9Y6E0,P04839,P62873,P13725,O95295,P42262,P29274,Q9Y6Q9,Q969V1,P49913,P29218,Q93070,,Q9UKV5,,,Q9UBN7,,,
P14324,Q3MJ16,P50148,P07858,O75578,Q9H7T0,P35913,Q15022,P18089,P02671,P45985,P98077,,Q13617,,,A6ND01,,,
P17787,P00374,P21709,Q9NP95,Q13153,Q13698,P13945,Q9BYK8,P01189,Q13489,Q9Y6W5,P02750,,,,,P31947,,,
O00186,P00325,Q99705,P26951,P49768,Q15878,O43314,A8MUU1,P10082,P08246,Q01085,P23560,,,,,O75506,,,
P67775,Q99459,O60229,P25774,O14795,P35609,Q13370,O14633,P21917,P03956,P04180,Q13094,,,,,P54652,,,
A8K0R7,O15243,P14138,Q06330,Q16827,Q13936,O60503,O95477,O43614,P20061,P38398,P06239,,,,,P61981,,,
Q9NY46,Q96RQ9,P01185,P21802,O60610,Q12866,P25092,Q09472,Q14832,P04275,O43837,Q06187,,,,,Q9H7L9,,,
Q12955,P09417,O43739,Q13480,Q9Y490,P21817,Q08462,P46937,Q14833,P07996,P08686,P43403,,,,,Q16778,,,
Q14524,Q13838,Q92847,P01589,Q96P71,P23634,P54750,Q15848,Q9NS75,P18827,P04114,P09769,,,,,P11802,,,
Q8IWT1,Q7L5N7,P51575,P16234,O75145,P54284,P50150,A5D8V6,Q9Y271,P08254,Q9ULD0,Q14247,,,,,P31946,,,
P30926,P08684,Q99572,P40763,Q9NR61,P62166,O14908,Q4ZG55,P59542,P05155,Q13671,O43561,,,,,Q02880,,,
